id,name,pit,start,end
1,Malignance,false,2023-07-20T00:00:00Z,2023-10-17T00:00:00Z
2,Blood,false,2023-10-17T00:00:00Z,2024-01-23T00:00:00Z
3,the Construct,false,2024-01-23T00:00:00Z,2024-05-14T00:00:00Z
4,Loot Reborn,true,2024-05-14T00:00:00Z,2024-08-06T00:00:00Z
5,Infernal Hordes,true,2024-06-08T00:00:00Z,2024-10-08T00:00:00Z
6,Hatred,true,2024-10-08T00:00:00Z,
